"Rank","Artist","Song"
1,"Armin van Buuren feat. Susana"," Shivers "
2,"Tiësto"," Adagio For Strings "
3,"GAIA"," Tuvan "
4,"Delerium feat. Sarah McLachlan"," Silence (Tiësto’s In Search Of Sunrise Remix)"
5,"Armin van Buuren"," Communication (Part 3)"
6,"Gouryella"," Anahera "
7,"RAM"," RAMsterdam (Jorn van Deynhoven Remix)"
8,"Dash Berlin with Cerf & Mitiska & Jaren"," Man On The Run "
9,"Gareth Emery feat. Christina Novelli"," Concrete Angel "
10,"RAM & Susana"," RAMelia (Tribute To Amelia) "
11,"Above & Beyond feat. Richard Bedford"," Sun & Moon (Above & Beyond Club Mix)"
12,"Gareth Emery & STANDERWICK feat. HALIENE"," Saving Light "
13,"4 Strings"," Take Me Away (Into The Night) "
14,"Armin van Buuren feat. Justine Suissa"," Burned With Desire (Rising Star Vocal Mix)"
15,"Rank 1"," Airwave "
16,"Paul van Dyk"," For An Angel (PvD E-Werk Club Mix )"
17,"Above & Beyond pres. OceanLab"," Satellite "
18,"Motorcycle"," As The Rush Comes (Gabriel & Dresden Sweeping Strings Mix"
19,"Aly & Fila feat. Jwaydan"," We Control The Sunlight "
20,"Armin van Buuren feat. Sharon Den Adel"," In And Out Of Love "
21,"Veracocha"," Carte Blanche "
22,"Above & Beyond & Gareth Emery pres. OceanLab"," On A Good Day (Metropolis) "
23,"MaRLo & Feenixpawl"," Lighter Than Air "
24,"Dash Berlin"," Till The Sky Falls Down "
25,"Chicane feat. Maire Brennan Of Clannad"," Saltwater "
26,"Above & Beyond with Andy Moor"," Air For Life "
27,"Paul van Dyk feat. Hemstock & Jennings"," Nothing But You (PvD Club Mix)"
28,"Dash Berlin feat. Emma Hewitt"," Waiting "
29,"Roger Shah presents Sunlounger feat. Zara"," Lost (Club Mix)"
30,"GAIA"," Empire Of Hearts "
31,"Andain"," Beautiful Things (Gabriel & Dresden Unplugged Mix)"
32,"Armin van Buuren feat. Trevor Guthrie"," This Is What It Feels Like (W&W Remix)"
33,"Robert Miles"," Children (Dream Version)"
34,"Alex M.O.R.P.H. feat. Sylvia Tosun"," An Angel’s Love "
35,"Gareth Emery feat. Bo Bruce"," U (Bryan Kearney Remix)"
